Note(start=21.255208, end=21.257812, pitch=55, velocity=110)
Note(start=21.255208, end=21.257812, pitch=59, velocity=110)
Note(start=21.255208, end=21.257812, pitch=62, velocity=110)
Note(start=21.927083, end=21.929688, pitch=54, velocity=110)
Note(start=21.927083, end=21.929688, pitch=57, velocity=110)
Note(start=21.927083, end=21.929688, pitch=61, velocity=110)
Note(start=25.255208, end=25.257812, pitch=55, velocity=110)
Note(start=25.255208, end=25.257812, pitch=59, velocity=110)
Note(start=25.255208, end=25.257812, pitch=62, velocity=110)
Note(start=25.927083, end=25.929688, pitch=54, velocity=110)
Note(start=25.927083, end=25.929688, pitch=57, velocity=110)
Note(start=25.927083, end=25.929688, pitch=61, velocity=110)
Note(start=29.255208, end=29.257812, pitch=55, velocity=110)
Note(start=29.255208, end=29.257812, pitch=59, velocity=110)
Note(start=29.255208, end=29.257812, pitch=62, velocity=110)
Note(start=29.927083, end=29.929688, pitch=54, velocity=110)
Note(start=29.927083, end=29.929688, pitch=57, velocity=110)
Note(start=29.927083, end=29.929688, pitch=61, velocity=110)
Note(start=30.442708, end=30.445312, pitch=54, velocity=110)
Note(start=30.442708, end=30.445312, pitch=57, velocity=110)
Note(start=30.442708, end=30.445312, pitch=61, velocity=110)
Note(start=30.442708, end=30.445312, pitch=64, velocity=110)
Note(start=30.942708, end=30.945312, pitch=54, velocity=110)
Note(start=30.942708, end=30.945312, pitch=57, velocity=110)
Note(start=30.942708, end=30.945312, pitch=61, velocity=110)
Note(start=30.942708, end=30.945312, pitch=64, velocity=110)
Note(start=31.442708, end=31.445312, pitch=54, velocity=110)
Note(start=31.442708, end=31.445312, pitch=57, velocity=110)
Note(start=31.442708, end=31.445312, pitch=61, velocity=110)
Note(start=31.442708, end=31.445312, pitch=64, velocity=110)
Note(start=31.942708, end=31.945312, pitch=54, velocity=110)
Note(start=31.942708, end=31.945312, pitch=57, velocity=110)
Note(start=31.942708, end=31.945312, pitch=61, velocity=110)
Note(start=31.942708, end=31.945312, pitch=64, velocity=110)
Note(start=32.442708, end=32.445312, pitch=54, velocity=110)
Note(start=32.442708, end=32.445312, pitch=57, velocity=110)
Note(start=32.442708, end=32.445312, pitch=61, velocity=110)
Note(start=32.442708, end=32.445312, pitch=64, velocity=110)
Note(start=32.942708, end=32.945312, pitch=54, velocity=110)
Note(start=32.942708, end=32.945312, pitch=57, velocity=110)
Note(start=32.942708, end=32.945312, pitch=61, velocity=110)
Note(start=32.942708, end=32.945312, pitch=64, velocity=110)
Note(start=33.255208, end=33.257812, pitch=54, velocity=110)
Note(start=33.255208, end=33.257812, pitch=57, velocity=110)
Note(start=33.255208, end=33.257812, pitch=61, velocity=110)
Note(start=33.255208, end=33.257812, pitch=64, velocity=110)
Note(start=33.927083, end=33.929688, pitch=52, velocity=110)
Note(start=33.927083, end=33.929688, pitch=54, velocity=110)
Note(start=33.927083, end=33.929688, pitch=57, velocity=110)
Note(start=33.927083, end=33.929688, pitch=61, velocity=110)
Note(start=37.255208, end=37.257812, pitch=55, velocity=110)
Note(start=37.255208, end=37.257812, pitch=59, velocity=110)
Note(start=37.255208, end=37.257812, pitch=62, velocity=110)
Note(start=37.927083, end=37.929688, pitch=54, velocity=110)
Note(start=37.927083, end=37.929688, pitch=57, velocity=110)
Note(start=37.927083, end=37.929688, pitch=61, velocity=110)
Note(start=41.255208, end=41.257812, pitch=55, velocity=110)
Note(start=41.255208, end=41.257812, pitch=59, velocity=110)
Note(start=41.255208, end=41.257812, pitch=62, velocity=110)
Note(start=41.927083, end=41.929688, pitch=54, velocity=110)
Note(start=41.927083, end=41.929688, pitch=57, velocity=110)
Note(start=41.927083, end=41.929688, pitch=61, velocity=110)
Note(start=45.255208, end=45.257812, pitch=55, velocity=110)
Note(start=45.255208, end=45.257812, pitch=59, velocity=110)
Note(start=45.255208, end=45.257812, pitch=62, velocity=110)
Note(start=45.927083, end=45.929688, pitch=54, velocity=110)
Note(start=45.927083, end=45.929688, pitch=57, velocity=110)
Note(start=45.927083, end=45.929688, pitch=61, velocity=110)
Note(start=49.255208, end=49.257812, pitch=55, velocity=110)
Note(start=49.255208, end=49.257812, pitch=59, velocity=110)
Note(start=49.255208, end=49.257812, pitch=62, velocity=110)
Note(start=49.927083, end=49.929688, pitch=54, velocity=110)
Note(start=49.927083, end=49.929688, pitch=57, velocity=110)
Note(start=49.927083, end=49.929688, pitch=61, velocity=110)
Note(start=53.255208, end=53.257812, pitch=55, velocity=110)
Note(start=53.255208, end=53.257812, pitch=59, velocity=110)
Note(start=53.255208, end=53.257812, pitch=62, velocity=110)
Note(start=53.927083, end=53.929688, pitch=54, velocity=110)
Note(start=53.927083, end=53.929688, pitch=57, velocity=110)
Note(start=53.927083, end=53.929688, pitch=61, velocity=110)
Note(start=57.255208, end=57.257812, pitch=55, velocity=110)
Note(start=57.255208, end=57.257812, pitch=59, velocity=110)
Note(start=57.255208, end=57.257812, pitch=62, velocity=110)
Note(start=57.927083, end=57.929688, pitch=54, velocity=110)
Note(start=57.927083, end=57.929688, pitch=57, velocity=110)
Note(start=57.927083, end=57.929688, pitch=61, velocity=110)
Note(start=61.255208, end=61.257812, pitch=55, velocity=110)
Note(start=61.255208, end=61.257812, pitch=59, velocity=110)
Note(start=61.255208, end=61.257812, pitch=62, velocity=110)
Note(start=61.927083, end=61.929688, pitch=54, velocity=110)
Note(start=61.927083, end=61.929688, pitch=57, velocity=110)
Note(start=61.927083, end=61.929688, pitch=61, velocity=110)
Note(start=203.255208, end=203.257812, pitch=55, velocity=110)
Note(start=203.255208, end=203.257812, pitch=59, velocity=110)
Note(start=203.255208, end=203.257812, pitch=62, velocity=110)
Note(start=203.927083, end=203.929688, pitch=54, velocity=110)
Note(start=203.927083, end=203.929688, pitch=57, velocity=110)
Note(start=203.927083, end=203.929688, pitch=61, velocity=110)
Note(start=207.255208, end=207.257812, pitch=55, velocity=110)
Note(start=207.255208, end=207.257812, pitch=59, velocity=110)
Note(start=207.255208, end=207.257812, pitch=62, velocity=110)
Note(start=207.927083, end=207.929688, pitch=54, velocity=110)
Note(start=207.927083, end=207.929688, pitch=57, velocity=110)
Note(start=207.927083, end=207.929688, pitch=61, velocity=110)
Note(start=211.255208, end=211.257812, pitch=55, velocity=110)
Note(start=211.255208, end=211.257812, pitch=59, velocity=110)
Note(start=211.255208, end=211.257812, pitch=62, velocity=110)
Note(start=211.927083, end=211.929688, pitch=54, velocity=110)
Note(start=211.927083, end=211.929688, pitch=57, velocity=110)
Note(start=211.927083, end=211.929688, pitch=61, velocity=110)
Note(start=212.442708, end=212.445312, pitch=54, velocity=110)
Note(start=212.442708, end=212.445312, pitch=57, velocity=110)
Note(start=212.442708, end=212.445312, pitch=61, velocity=110)
Note(start=212.442708, end=212.445312, pitch=64, velocity=110)
Note(start=212.942708, end=212.945312, pitch=54, velocity=110)
Note(start=212.942708, end=212.945312, pitch=57, velocity=110)
Note(start=212.942708, end=212.945312, pitch=61, velocity=110)
Note(start=212.942708, end=212.945312, pitch=64, velocity=110)
Note(start=213.442708, end=213.445312, pitch=54, velocity=110)
Note(start=213.442708, end=213.445312, pitch=57, velocity=110)
Note(start=213.442708, end=213.445312, pitch=61, velocity=110)
Note(start=213.442708, end=213.445312, pitch=64, velocity=110)
Note(start=213.942708, end=213.945312, pitch=54, velocity=110)
Note(start=213.942708, end=213.945312, pitch=57, velocity=110)
Note(start=213.942708, end=213.945312, pitch=61, velocity=110)
