Note(start=18.013021, end=21.257812, pitch=62, velocity=110)
Note(start=18.013021, end=21.257812, pitch=55, velocity=110)
Note(start=18.013021, end=21.257812, pitch=59, velocity=110)
Note(start=21.263021, end=21.929688, pitch=57, velocity=110)
Note(start=21.263021, end=21.929688, pitch=54, velocity=110)
Note(start=21.263021, end=21.929688, pitch=61, velocity=110)
Note(start=22.013021, end=25.257812, pitch=55, velocity=110)
Note(start=22.013021, end=25.257812, pitch=59, velocity=110)
Note(start=22.013021, end=25.257812, pitch=62, velocity=110)
Note(start=25.263021, end=25.929688, pitch=57, velocity=110)
Note(start=25.263021, end=25.929688, pitch=54, velocity=110)
Note(start=25.263021, end=25.929688, pitch=61, velocity=110)
Note(start=26.013021, end=29.257812, pitch=55, velocity=110)
Note(start=26.013021, end=29.257812, pitch=59, velocity=110)
Note(start=26.013021, end=29.257812, pitch=62, velocity=110)
Note(start=29.263021, end=29.929688, pitch=57, velocity=110)
Note(start=29.263021, end=29.929688, pitch=61, velocity=110)
Note(start=29.263021, end=29.929688, pitch=54, velocity=110)
Note(start=30.013021, end=30.445312, pitch=64, velocity=110)
Note(start=30.013021, end=30.445312, pitch=61, velocity=110)
Note(start=30.013021, end=30.445312, pitch=54, velocity=110)
Note(start=30.013021, end=30.445312, pitch=57, velocity=110)
Note(start=30.513021, end=30.945312, pitch=64, velocity=110)
Note(start=30.513021, end=30.945312, pitch=61, velocity=110)
Note(start=30.513021, end=30.945312, pitch=54, velocity=110)
Note(start=30.513021, end=30.945312, pitch=57, velocity=110)
Note(start=31.013021, end=31.445312, pitch=64, velocity=110)
Note(start=31.013021, end=31.445312, pitch=61, velocity=110)
Note(start=31.013021, end=31.445312, pitch=54, velocity=110)
Note(start=31.013021, end=31.445312, pitch=57, velocity=110)
Note(start=31.513021, end=31.945312, pitch=64, velocity=110)
Note(start=31.513021, end=31.945312, pitch=61, velocity=110)
Note(start=31.513021, end=31.945312, pitch=54, velocity=110)
Note(start=31.513021, end=31.945312, pitch=57, velocity=110)
Note(start=32.013021, end=32.445312, pitch=54, velocity=110)
Note(start=32.013021, end=32.445312, pitch=64, velocity=110)
Note(start=32.013021, end=32.445312, pitch=61, velocity=110)
Note(start=32.013021, end=32.445312, pitch=57, velocity=110)
Note(start=32.513021, end=32.945312, pitch=54, velocity=110)
Note(start=32.513021, end=32.945312, pitch=64, velocity=110)
Note(start=32.513021, end=32.945312, pitch=61, velocity=110)
Note(start=32.513021, end=32.945312, pitch=57, velocity=110)
Note(start=33.013021, end=33.257812, pitch=57, velocity=110)
Note(start=33.013021, end=33.257812, pitch=54, velocity=110)
Note(start=33.013021, end=33.257812, pitch=64, velocity=110)
Note(start=33.013021, end=33.257812, pitch=61, velocity=110)
Note(start=33.263021, end=33.929688, pitch=54, velocity=110)
Note(start=33.263021, end=33.929688, pitch=61, velocity=110)
Note(start=33.263021, end=33.929688, pitch=52, velocity=110)
Note(start=33.263021, end=33.929688, pitch=57, velocity=110)
Note(start=34.013021, end=37.257812, pitch=59, velocity=110)
Note(start=34.013021, end=37.257812, pitch=62, velocity=110)
Note(start=34.013021, end=37.257812, pitch=55, velocity=110)
Note(start=37.263021, end=37.929688, pitch=61, velocity=110)
Note(start=37.263021, end=37.929688, pitch=57, velocity=110)
Note(start=37.263021, end=37.929688, pitch=54, velocity=110)
Note(start=38.013021, end=41.257812, pitch=55, velocity=110)
Note(start=38.013021, end=41.257812, pitch=62, velocity=110)
Note(start=38.013021, end=41.257812, pitch=59, velocity=110)
Note(start=41.263021, end=41.929688, pitch=61, velocity=110)
Note(start=41.263021, end=41.929688, pitch=54, velocity=110)
Note(start=41.263021, end=41.929688, pitch=57, velocity=110)
Note(start=42.013021, end=45.257812, pitch=59, velocity=110)
Note(start=42.013021, end=45.257812, pitch=62, velocity=110)
Note(start=42.013021, end=45.257812, pitch=55, velocity=110)
Note(start=45.263021, end=45.929688, pitch=61, velocity=110)
Note(start=45.263021, end=45.929688, pitch=57, velocity=110)
Note(start=45.263021, end=45.929688, pitch=54, velocity=110)
Note(start=46.013021, end=49.257812, pitch=55, velocity=110)
Note(start=46.013021, end=49.257812, pitch=62, velocity=110)
Note(start=46.013021, end=49.257812, pitch=59, velocity=110)
Note(start=49.263021, end=49.929688, pitch=61, velocity=110)
Note(start=49.263021, end=49.929688, pitch=54, velocity=110)
Note(start=49.263021, end=49.929688, pitch=57, velocity=110)
Note(start=50.013021, end=53.257812, pitch=59, velocity=110)
Note(start=50.013021, end=53.257812, pitch=62, velocity=110)
Note(start=50.013021, end=53.257812, pitch=55, velocity=110)
Note(start=53.263021, end=53.929688, pitch=61, velocity=110)
Note(start=53.263021, end=53.929688, pitch=57, velocity=110)
Note(start=53.263021, end=53.929688, pitch=54, velocity=110)
Note(start=54.013021, end=57.257812, pitch=55, velocity=110)
Note(start=54.013021, end=57.257812, pitch=62, velocity=110)
